#Time     v(mydiv.VCLK.v) vg(mydiv.D1.M1.m) vg(mydiv.D1.M2.m) vg(mydiv.D1.M5.m) vg(mydiv.D2.M5.m) vg(mydiv.inv1.P1.m) vg(mydiv.inv2.P1.m) v(mydiv.q)
 0.       0.       4.15     4.15     5.       0.       0.       5.       4.15    
 500.E-12 5.       3.55     3.55     0.494    4.61     5.       0.494    3.55    
 1.E-9    5.       3.65     3.65    -0.218    5.18     5.      -0.218    3.65    
 1.5E-9   5.       3.94     3.94     0.262    4.81     5.       0.262    3.94    
 1.52E-9  5.       3.94     3.94     0.161    4.94     5.       0.161    3.94    
 1.53E-9  5.       3.94     3.94     0.144    4.95     5.       0.144    3.94    
 1.61E-9  5.       3.98     3.98     0.0437   5.01     5.       0.0437   3.98    
 1.62E-9  5.       3.99     3.99     0.0378   5.       5.       0.0378   3.99    
 1.63E-9  5.       4.       4.       0.033    5.       5.       0.033    4.      
 1.63E-9  5.       4.01     4.01     0.0312   5.       5.       0.0312   4.01    
 1.64E-9  5.       4.02     4.02     0.0293   5.       5.       0.0293   4.02    
 1.65E-9  5.       4.02     4.02     0.0275   5.       5.       0.0275   4.02    
 1.66E-9  5.       4.03     4.03     0.0255   5.       5.       0.0255   4.03    
 1.67E-9  5.       4.04     4.04     0.0222   5.       5.       0.0222   4.04    
 1.68E-9  5.       4.05     4.05     0.0201   5.       5.       0.0201   4.05    
 1.7E-9   5.       4.07     4.07     0.0165   5.       5.       0.0165   4.07    
 1.73E-9  5.       4.09     4.09     0.0136   5.       5.       0.0136   4.09    
 1.78E-9  5.       4.13     4.13     0.00952  5.       5.       0.00952  4.13    
 1.88E-9  5.       4.2      4.2      0.00525  5.       5.       0.00525  4.2     
 2.05E-9  5.       4.3      4.3      0.00339  5.       5.       0.00339  4.3     
 2.31E-9  5.       4.41     4.41     0.00211  5.       5.       0.00211  4.41    
 2.78E-9  5.       4.5      4.5      0.00125  5.       5.       0.00125  4.5     
 3.65E-9  5.       4.46     4.46     461.E-6  5.       5.       461.E-6  4.46    
 4.51E-9  5.       4.24     4.24     53.9E-6  5.       5.       53.9E-6  4.24    
 6.1E-9   5.       3.56     3.56    -402.E-6  5.       5.      -402.E-6  3.56    
 7.69E-9  5.       2.87     2.87    -462.E-6  5.       5.      -462.E-6  2.87    
 11.7E-9  5.       2.32     2.32     197.E-6  5.       5.       197.E-6  2.32    
 15.7E-9  5.       2.32     2.29    -150.E-6  5.       5.      -150.E-6  2.32    
 19.6E-9  5.       2.63     1.93     176.E-6  5.       5.       176.E-6  2.63    
 22.8E-9  5.       3.31     1.45     75.1E-6  5.       5.       75.1E-6  3.31    
 29.9E-9  5.       3.94     0.613    155.E-6  5.       5.       155.E-6  3.94    
 37.1E-9  5.       3.81     0.329   -9.7E-6   5.       5.      -9.7E-6   3.81    
